title,year,vote_count,vote_average,popularity,genres,soup
The Garbage Pail Kids Movie,1987,20,3,3.47192,"['Adventure', 'Science Fiction', 'Comedy']",monster garbag music friendship anthonynewley mackenzieastin katiebarberi rodamateau rodamateau rodamateau Adventure Science Fiction Comedy
Howard the Duck,1986,227,5,10.722672,"['Comedy', 'Fantasy', 'Science Fiction']",duck physicist extraterrestri anthropomorph alieninvas alternativer leathompson jeffreyjones timrobbins willardhuyck willardhuyck willardhuyck Comedy Fantasy Science Fiction
The Gate,1987,107,5,4.742709,"['Horror', 'Fantasy']",babysitt legend eye stopmot cultfavorit demon sibl hole recordalbum eyegoug occult deaddog moth canuxploit stephendorff christadenton louistripp tibortakács tibortakács tibortakács Horror Fantasy
The Boy Who Could Fly,1986,36,6,3.791972,"['Drama', 'Family', 'Fantasy', 'Science Fiction']",jayunderwood fredsavage bonniebedelia nickcastle nickcastle nickcastle Drama Family Fantasy Science Fiction
The Fly,1958,129,6,8.407369,"['Drama', 'Horror', 'Science Fiction']",teleport humanexperiment hybrid flytheinsect davidhedison patriciaowens vincentprice kurtneumann kurtneumann kurtneumann Drama Horror Science Fiction
The Fly,1986,1038,7,13.534589,"['Horror', 'Science Fiction']",mutant mutat humanexperiment remak scientist scienc flytheinsect animalhorror jeffgoldblum geenadavis johngetz davidcronenberg davidcronenberg davidcronenberg Horror Science Fiction
The Fly II,1989,159,5,9.207436,"['Horror', 'Science Fiction', 'Thriller']",monster experi industrialist sequel flytheinsect ericstoltz daphnezuniga leerichardson chriswalas chriswalas chriswalas Horror Science Fiction Thriller
Running Scared,1986,58,6,4.819467,"['Thriller', 'Action', 'Comedy', 'Crime']",taxi chicago airport bar florida winter undercov floridakey chase vacat cop shootout undercovercop violenc drug carchas o'hareairportchicago bulletproofvest christma keywest gregoryhines billycrystal stevenbauer peterhyams peterhyams peterhyams Thriller Action Comedy Crime
Armed and Dangerous,1986,46,5,5.037671,"['Action', 'Comedy', 'Crime']",corrupt ex-cop privatedetect johncandy eugenelevy robertloggia markl.lester markl.lester markl.lester Action Comedy Crime
The Texas Chain Saw Massacre,1974,617,7,15.526413,['Horror'],gasstat texa van gore midnightmovi surpriseend leatherfac hitchhik slaughterhous slasher chainsaw famili polaroid proto-slash marilynburns allendanziger paula.partain tobehooper tobehooper tobehooper Horror
The Texas Chainsaw Massacre 2,1986,142,5,9.501011,['Horror'],hammer gore slasher chainsaw bhorror dennishopper carolinewilliams jimsiedow tobehooper tobehooper tobehooper Horror
Leatherface: Texas Chainsaw Massacre III,1990,75,5,5.79907,"['Horror', 'Thriller']",sequel leatherfac death katehodge kenforee r.a.mihailoff jeffburr jeffburr jeffburr Horror Thriller
Texas Chainsaw Massacre: The Next Generation,1994,96,3,6.854576,"['Horror', 'Comedy', 'Thriller']",femalenud texa sadism sequel leatherfac hitchhik crossdress chainsaw tortur cannib splatter skin renéezellweger matthewmcconaughey robertjacks kimhenkel kimhenkel kimhenkel Horror Comedy Thriller
Ruthless People,1986,104,6,7.427491,['Comedy'],ransom lover(female) kidnap businessman dannydevito bettemidler judgereinhold jimabrahams jimabrahams jimabrahams Comedy
Trick or Treat,1986,40,5,2.612214,"['Horror', 'Music']",rockstar halloween heavymet rock'n'rol marcprice tonyfields lisaorgolini charlesmartinsmith charlesmartinsmith charlesmartinsmith Horror Music
Deadly Friend,1986,57,5,5.012318,"['Horror', 'Science Fiction']",artificialintellig childabus basketbal resurrect reveng teenag robot alcohol brawl circuitboard matthewlaborteaux kristyswanson michaelsharrett wescraven wescraven wescraven Horror Science Fiction
The Name of the Rose,1986,739,7,11.469751,"['Drama', 'Thriller', 'Mystery']",christian librari inquisit monk poison secretpassag labyrinth rich middleag persecut mediev poor murdermysteri seanconnery christianslater helmutqualtinger jean-jacquesannaud jean-jacquesannaud jean-jacquesannaud Drama Thriller Mystery
Jumpin' Jack Flash,1986,86,5,4.477284,"['Romance', 'Comedy', 'Thriller']",cia kgb comput chat mole agent womandirector whoopigoldberg stephencollins jonathanpryce pennymarshall pennymarshall pennymarshall Romance Comedy Thriller
Peggy Sue Got Married,1986,138,5,7.471655,"['Comedy', 'Drama', 'Fantasy', 'Romance']",timetravel highschoolreunion nicolascage jimcarrey kathleenturner francisfordcoppola francisfordcoppola francisfordcoppola Comedy Drama Fantasy Romance
Crocodile Dundee,1986,512,6,7.791212,"['Adventure', 'Comedy']",newyork prostitut hotel journalist cultureclash subway crocodil wilder knife tourist limousin poacher citi australianoutback kangaroo paulhogan lindakozlowski markblum peterfaiman peterfaiman peterfaiman Adventure Comedy
Crocodile Dundee II,1988,310,5,8.948565,"['Adventure', 'Comedy']",newyork crocodil australia aftercreditssting paulhogan lindakozlowski johnmeillon johncornell johncornell johncornell Adventure Comedy
Tough Guys,1986,41,5,2.86084,"['Comedy', 'Crime']",prison trainrobberi burtlancaster kirkdouglas charlesdurning jeffkanew jeffkanew jeffkanew Comedy Crime
Soul Man,1986,42,5,3.589199,['Comedy'],soul secretident harvardunivers colleg scholarship losangel c.thomashowell raedawnchong aryegross steveminer steveminer steveminer Comedy
The Color of Money,1986,297,6,11.613655,['Drama'],bar billard talent hustler sport paulnewman tomcruise maryelizabethmastrantonio martinscorsese martinscorsese martinscorsese Drama
52 Pick-Up,1986,23,5,15.921964,"['Crime', 'Drama', 'Thriller']",femalenud infidel blackmail pornactor murder suspens losangel elmoreleonard royscheider ann-margret vanity johnfrankenheimer johnfrankenheimer johnfrankenheimer Crime Drama Thriller
Heartbreak Ridge,1986,270,6,7.390012,"['Action', 'Comedy', 'Drama', 'War']",recruit offic battleassign marin platoon combat clinteastwood marshamason everettmcgill clinteastwood clinteastwood clinteastwood Action Comedy Drama War
¡Three Amigos!,1986,287,6,6.377624,"['Comedy', 'Western']",mexico hero villag unitedstates–mexicobarri confus spoof actor chevychase stevemartin martinshort johnlandis johnlandis johnlandis Comedy Western
Gloria,1999,13,5,1.807605,"['Drama', 'Action', 'Thriller', 'Crime']",ontherun streetwis moll sharonstone jeremynortham cathymoriarty sidneylumet sidneylumet sidneylumet Drama Action Thriller Crime
My Name Is Joe,1998,29,7,1.878973,"['Drama', 'Romance']",glasgow funer americanfootballcoach debt soccer petermullan louisegoodall davidmckay kenloach kenloach kenloach Drama Romance
Still Crazy,1998,35,7,11.089962,"['Comedy', 'Music']",birthday condom comeback tour rivalri rockband death stephenrea billyconnolly jimmynail briangibson briangibson briangibson Comedy Music
The Day of the Beast,1995,106,6,5.759423,"['Action', 'Comedy', 'Horror', 'Crime']",neo-nazi propheci madrid telecast virgin blackmag heavymet hallucinogen anti-christ murder surreal inferno apocalyps devil crucifix catholicpriest christma blackcomedi alexangulo armandoderazza santiagosegura álexdelaiglesia álexdelaiglesia álexdelaiglesia Action Comedy Horror Crime
She's All That,1999,425,5,7.064982,"['Comedy', 'Romance']",tvstar jeep volleybal misfit teenangst houseparti teenmovi teenag popular littlepeopl highschoolstud younglov promqueen clownmakeup performanceart trip freddieprinzejr. rachaelleighcook matthewlillard robertiscove robertiscove robertiscove Comedy Romance
The 24 Hour Woman,1999,1,2,1.403627,"['Comedy', 'Romance']",televisionproduc nervousbreakdown womandirector rosieperez mariannejean-baptiste pattilupone nancysavoca nancysavoca nancysavoca Comedy Romance
"Blood, Guts, Bullets and Octane",1998,3,6,0.137676,"['Action', 'Comedy', 'Thriller']",mikemaas nickfenske markpriolo joecarnahan joecarnahan joecarnahan Action Comedy Thriller
Peeping Tom,1960,148,7,7.229587,"['Horror', 'Thriller']",cinematograph photographi illegalprostitut proto-slash karlheinzböhm moirashearer annamassey michaelpowell michaelpowell michaelpowell Horror Thriller
Payback,1999,557,6,9.112008,"['Drama', 'Action', 'Thriller', 'Crime']",newyork heroin money crimin melgibson kriskristofferson gregghenry brianhelgeland brianhelgeland brianhelgeland Drama Action Thriller Crime
Simply Irresistible,1999,52,5,6.053045,['Comedy'],restaur departmentstor kitchen love crab chef sarahmichellegellar seanpatrickflanery dylanbaker marktarlov marktarlov marktarlov Comedy
20 Dates,1998,3,3,0.759793,"['Romance', 'Comedy']",hiddencamera biographi realityshow mockumentari mylesberkowitz tiacarrere elisabethwagner mylesberkowitz mylesberkowitz mylesberkowitz Romance Comedy
Comedian Harmonists,1997,13,6,0.799079,"['Music', 'Drama']",berlin jew nazi music biographi antisemit benbecker heinoferch ulrichnoethen josephvilsmaier josephvilsmaier josephvilsmaier Music Drama
The Last Days,1998,10,7,1.380947,"['Documentary', 'Drama', 'History', 'War']",prison u.s.soldi childhoodhom billbasch martinbasch randolphbraham jamesmoll jamesmoll jamesmoll Documentary Drama History War
Fantastic Planet,1973,140,7,6.305008,"['Animation', 'Fantasy', 'Science Fiction']",slaveri dystopia space alien anim adultanim humansubjug jenniferdrake ericbaugin jeantopart renélaloux renélaloux renélaloux Animation Fantasy Science Fiction
Blast from the Past,1999,247,6,8.355977,"['Comedy', 'Romance']",isol atomicbomb bunker shelter brendanfraser aliciasilverstone christopherwalken hughwilson hughwilson hughwilson Comedy Romance
Message in a Bottle,1999,198,5,5.101392,"['Romance', 'Drama']",sailboat anonymouslett sail lovelett bottl kevincostner robinwright paulnewman luismandoki luismandoki luismandoki Romance Drama
My Favorite Martian,1999,81,5,12.65102,"['Comedy', 'Drama', 'Family', 'Science Fiction']",alien martian basedontvseri fishoutofwat jeffdaniels elizabethhurley darylhannah donaldpetrie donaldpetrie donaldpetrie Comedy Drama Family Science Fiction
"God Said, 'Ha!'",1998,1,8,0.054592,['Comedy'],womandirector juliasweeney juliasweeney juliasweeney juliasweeney Comedy
Jawbreaker,1999,93,5,7.434797,['Comedy'],confess jealousi nightmar ambit groupi highschool cafeteria reveng prom deadbodi date fashion rockband fantasysequ slowmot multipleident popmus makeov publichumili socialoutcast sidekick cliqu socialclimb rosemcgowan juliebenz rebeccagayheart darrenstein darrenstein darrenstein Comedy
October Sky,1999,259,7,6.652528,"['Drama', 'Family']",fathersonrelationship basedonnovel smalltown satellit biographi rocket westvirginia teacher student coalmin 1950s miningaccid jakegyllenhaal chriscooper lauradern joejohnston joejohnston joejohnston Drama Family
Office Space,1999,1068,7,12.329066,"['Comedy', 'Crime']",suburbia downsiz dallastexa duringcreditssting businessrivalri ronlivingston jenniferaniston davidherman mikejudge mikejudge mikejudge Comedy Crime
200 Cigarettes,1999,44,6,3.227046,"['Comedy', 'Drama', 'Romance']",newyear'sev independentfilm relationship womandirector lowereastsid benaffleck caseyaffleck davechappelle risabramongarcia risabramongarcia risabramongarcia Comedy Drama Romance
8MM,1999,479,6,7.473718,"['Thriller', 'Crime', 'Mystery']",pornographi pornactor lossofdaught childpornographi privateinvestig subcultur privatedetect nicolascage joaquinphoenix jamesgandolfini joelschumacher joelschumacher joelschumacher Thriller Crime Mystery
The Other Sister,1999,35,6,3.816491,"['Comedy', 'Drama', 'Romance']",autism juliettelewis dianekeaton tomskerritt garrymarshall garrymarshall garrymarshall Comedy Drama Romance
Breakfast of Champions,1999,28,5,2.421573,['Comedy'],wifehusbandrelationship success author extramaritalaffair brucewillis albertfinney nicknolte alanrudolph alanrudolph alanrudolph Comedy
The Long Goodbye,1973,112,7,7.204017,"['Thriller', 'Crime', 'Drama', 'Mystery']",detect missionofmurd policeoper victimofmurd unitedstates–mexicobarri polic suspens losangel philipmarlow neo-noir elliottgould ninavanpallandt sterlinghayden robertaltman robertaltman robertaltman Thriller Crime Drama Mystery
Pet Sematary,1989,417,6,8.365761,"['Drama', 'Horror']",coffin pet funer headinjuri grief violenc newneighbor petcemeteri deadcat deadlov mothersonrelationship ghost graverob indianburialground womandirector flashback dalemidkiff fredgwynne denisecrosby marylambert marylambert marylambert Drama Horror
Pet Sematary II,1992,107,5,6.823445,['Horror'],underdog fathersonrelationship veterinarian stepfath dog womandirector edwardfurlong anthonyedwards clancybrown marylambert marylambert marylambert Horror
Children of the Corn II: The Final Sacrifice,1993,50,4,8.357875,['Horror'],sequel possess priest corn harvest terenceknox paulscherrer ryanbollman davidprice davidprice davidprice Horror
Children of the Corn III: Urban Harvest,1995,50,4,4.411511,"['Thriller', 'Horror']",chicago telekinesi boy cult bloodsplatt sequel priest goodvsevil religion blood citi corn cornfield armrippedoff supernaturalpow killerchild danielcerny ronmelendez jimmetzler jamesd.r.hickox jamesd.r.hickox jamesd.r.hickox Thriller Horror
Christine,1983,392,6,7.106757,['Horror'],anthropomorph teenag psychologicaldrama animatecar smartcar overprotectivepar keithgordon johnstockwell alexandrapaul johncarpenter johncarpenter johncarpenter Horror
Night Shift,1982,46,5,4.535207,['Comedy'],pimp morgu prostitut henrywinkler michaelkeaton shelleylong ronhoward ronhoward ronhoward Comedy
House on Haunted Hill,1959,102,6,5.738218,"['Drama', 'Horror', 'Thriller']",winecellar skeleton cigarettesmok blind horrormovieremad vincentprice carolyncraig richardlong williamcastle williamcastle williamcastle Drama Horror Thriller
Airport,1970,89,6,7.873018,"['Action', 'Drama', 'Thriller']",bomb basedonnovel airport desper snowstorm stowaway airplan panic land psychopath decept splitscreen blizzard disasterfilm burtlancaster deanmartin jeanseberg georgeseaton georgeseaton georgeseaton Action Drama Thriller
Airport 1975,1974,79,5,8.480501,"['Action', 'Adventure', 'Drama', 'Thriller']",helicopt basedonnovel airport cataclysm guitar wifehusbandrelationship stewardess pilot airplan music alcohol sequel numberintitl aviat saltlakec dullesinternationalairport teenagegirl airplaneaccid losangel ensemblecast disasterfilm charltonheston karenblack gloriaswanson jacksmight jacksmight jacksmight Action Adventure Drama Thriller
Airport '77,1977,69,5,9.394776,"['Action', 'Adventure', 'Drama', 'Thriller']",stewardess pilot airplan hijack u.s.navi paint sequel rescu airplanehijack disast underwat artthief millionair airlin playingcard disasterfilm inspiredbynovel scubadiv jacklemmon leegrant brendavaccaro jerryjameson jerryjameson jerryjameson Action Adventure Drama Thriller
Rollercoaster,1977,33,5,3.494417,"['Action', 'Thriller']",bomb terrorist fbi blackmail investig inspector suspens disast amusementpark bombsquad sensurround georgesegal richardwidmark timothybottoms jamesgoldstone jamesgoldstone jamesgoldstone Action Thriller
The Towering Inferno,1974,230,7,7.469056,"['Action', 'Thriller']",sanfrancisco fire helicopt skyscrap firemen fireengin rescu disast explos trap elev disasterfilm disastermovi stevemcqueen paulnewman williamholden johnguillermin johnguillermin johnguillermin Action Thriller
Alligator,1980,63,5,5.500439,"['Horror', 'Science Fiction', 'Thriller']",hunter mutat allig underwear toxic brief scientist sewer timebomb animalhorror robertforster robinriker michaelv.gazzo lewisteague lewisteague lewisteague Horror Science Fiction Thriller
Meteor,1979,37,5,4.695793,"['Action', 'Science Fiction', 'Thriller']",meteor disast disasterfilm disastermovi seanconnery nataliewood karlmalden ronaldneame ronaldneame ronaldneame Action Science Fiction Thriller
Westworld,1973,345,6,6.529052,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction', 'Thriller', 'Western']",manvsmachin android saloon futur vacat surviv cultfilm themepark yulbrynner richardbenjamin jamesbrolin michaelcrichton michaelcrichton michaelcrichton Action Adventure Drama Horror Science Fiction Thriller Western
Logan's Run,1976,272,6,6.842274,"['Adventure', 'Action', 'Romance', 'Science Fiction']",femalenud killerrobot nuditi utopia teleport post-apocalypt dystopia plasticsurgeri escap fugit robot dystopicfutur totalitarian populationcontrol michaelyork richardjordan jennyagutter michaelanderson michaelanderson michaelanderson Adventure Action Romance Science Fiction
Planet of the Apes,1968,958,7,17.784978,"['Science Fiction', 'Adventure', 'Drama', 'Action']",humanevolut gorilla bondag spacemarin chimp slaveri spacetravel timetravel dystopia apocalyps astronaut ape humansubjug charltonheston roddymcdowall kimhunter franklinj.schaffner franklinj.schaffner franklinj.schaffner Science Fiction Adventure Drama Action
Beneath the Planet of the Apes,1970,370,6,12.325947,"['Adventure', 'Science Fiction', 'Mystery']",mutant dystopia survivor astronaut ape scienc jamesfranciscus kimhunter mauriceevans tedpost tedpost tedpost Adventure Science Fiction Mystery
Battle for the Planet of the Apes,1973,220,5,11.644764,"['Action', 'Science Fiction']",post-apocalypt dystopia ape roddymcdowall natalietrundy austinstoker j.leethompson j.leethompson j.leethompson Action Science Fiction
Conquest of the Planet of the Apes,1972,243,6,12.843375,"['Action', 'Science Fiction']",circus pet humanb dystopia insurrect armi ape roddymcdowall donmurray ricardomontalban j.leethompson j.leethompson j.leethompson Action Science Fiction
Escape from the Planet of the Apes,1971,270,6,12.120267,"['Action', 'Science Fiction']",spacecraft pacif humanb cage dystopia politician chimpanze roddymcdowall kimhunter bradforddillman dontaylor dontaylor dontaylor Action Science Fiction
Avalanche,1978,10,3,1.192297,"['Action', 'Adventure', 'Drama']",femalenud winter ambul sloth nuditi skijump carcrash skate rescu independentfilm snow airplanecrash trap slowmot race icesk ski avalanch disasterfilm ski snowmobil rockhudson miafarrow robertforster coreyallen coreyallen coreyallen Action Adventure Drama
Earthquake,1974,76,5,6.657792,"['Action', 'Drama', 'Thriller']",fire supermarket architect earthquak parkinggarag naturaldisast nationalguard disast childinperil poolhal losangel explos motorcycl alcohol policeman daredevil movietheat disasterfilm disastermovi sensurround charltonheston avagardner georgekennedy markrobson markrobson markrobson Action Drama Thriller
The Concorde... Airport '79,1979,45,4,3.514331,"['Action', 'Drama', 'Thriller']",stewardess missil pilot hotairballoon panic armsdeal fighterjet airplaneaccid drone sabotag mountainpass airlin smokingpot playingcard signlanguag disasterfilm inspiredbynovel alaindelon susanblakely robertwagner davidlowellrich davidlowellrich davidlowellrich Action Drama Thriller
Beyond the Poseidon Adventure,1979,28,5,3.276763,"['Action', 'Adventure', 'Drama']",capsizedship michaelcaine sallyfield tellysavalas irwinallen irwinallen irwinallen Action Adventure Drama
Analyze This,1999,512,6,7.634017,"['Comedy', 'Crime']",newyork mafiaboss wed psychiatrist robertdeniro billycrystal lisakudrow haroldramis haroldramis haroldramis Comedy Crime
The Corruptor,1999,60,6,9.208831,"['Action', 'Crime', 'Mystery', 'Thriller']",newyork lifeanddeath gangwar polic markwahlberg chowyun-fat byronmann jamesfoley jamesfoley jamesfoley Action Crime Mystery Thriller
Cruel Intentions,1999,848,6,8.181065,"['Drama', 'Romance', 'Thriller']",upperclass sexualobsess sex bet sadist drugabus brothersisterrelationship cynic cocain virgin manipul seduct lovelett privateschool innoc addict love psychotherapi sarahmichellegellar ryanphillippe reesewitherspoon rogerkumble rogerkumble rogerkumble Drama Romance Thriller
"Lock, Stock and Two Smoking Barrels",1998,1671,7,4.60786,"['Comedy', 'Crime']",ambush alcohol shotgun tea joint machismo cocktail rifl marijuana cockneyacc potsmok cardsharp anger carjack piano jasonflemyng dexterfletcher nickmoran guyritchie guyritchie guyritchie Comedy Crime
Relax... It's Just Sex,1998,3,3,0.407322,['Comedy'],gay friendship hiv lesbian mitchellanderson terrence't.c.'carson seymourcassel p.j.castellaneta p.j.castellaneta p.j.castellaneta Comedy
The Deep End of the Ocean,1999,58,6,5.78468,"['Drama', 'Mystery']",kidnap boy reunion michellepfeiffer treatwilliams whoopigoldberg ulugrosbard ulugrosbard ulugrosbard Drama Mystery
The Rage: Carrie 2,1999,79,5,4.766591,"['Horror', 'Thriller', 'Science Fiction']",suicid malenud femalenud fire nuditi asylum telekinesi highschool swimmingpool parti sequel murder prom teacher decapit blood splatter weightlift teensuicid womandirector emilybergl jasonlondon amyirving kattshea kattshea kattshea Horror Thriller Science Fiction
Wing Commander,1999,75,4,5.924059,"['Action', 'Science Fiction']",fight pilot outerspac basedonvideogam spaceopera freddieprinzejr. saffronburrows matthewlillard christopherroberts christopherroberts christopherroberts Action Science Fiction
The Haunting,1963,153,7,10.461285,"['Mystery', 'Horror', 'Thriller']",alcohol hauntedhous supernaturalpow disappear orphan julieharris clairebloom richardjohnson robertwise robertwise robertwise Mystery Horror Thriller
Dead Ringers,1988,176,7,5.53202,"['Drama', 'Horror', 'Thriller']",nurs sex basedonnovel bondag obsess nuditi sadism sadomasoch twinbroth murder prostitut drug twin receptionist extramaritalaffair gynecologist voyeur spectacl bodyhorror jeremyirons genevièvebujold heidivonpalleske davidcronenberg davidcronenberg davidcronenberg Drama Horror Thriller
My Boyfriend's Back,1993,22,5,2.183504,"['Comedy', 'Romance']",zombi graveyard andrewlowery tracilind dannyzorn bobbalaban bobbalaban bobbalaban Comedy Romance
Village of the Damned,1960,92,7,6.39955,"['Horror', 'Science Fiction']",suicid england basedonnovel parentchildrelationship youngster parish villag carcrash children pregnant mindread pregnanc explos english militari georgesanders barbarashelley martinstephens wolfrilla wolfrilla wolfrilla Horror Science Fiction
Children of the Damned,1964,24,5,2.416299,"['Science Fiction', 'Thriller']",evilchild ianhendry alanbadel barbaraferris antonleader antonleader antonleader Science Fiction Thriller
Baby Geniuses,1999,75,3,7.707344,"['Science Fiction', 'Comedy', 'Family']",babi genius toddler babygenius kathleenturner christopherlloyd kimcattrall bobclark bobclark bobclark Science Fiction Comedy Family
I Stand Alone,1998,99,7,6.138782,"['Drama', 'Thriller']",rageandh misanthrop monologu incestoverton unsimulatedsex newfrenchextrem philippenahon blandinelenoir martineaudrain gasparnoé gasparnoé gasparnoé Drama Thriller
Forces of Nature,1999,141,5,7.906035,"['Romance', 'Comedy']",cataclysm airplan singl travel wed storm extramaritalaffair womandirector sandrabullock benaffleck mauratierney bronwenhughes bronwenhughes bronwenhughes Romance Comedy
The King and I,1999,23,5,1.466461,"['Animation', 'Drama', 'Family']",music king schoolteach siam mirandarichardson martinvidnovic ianrichardson richardrich richardrich richardrich Animation Drama Family
Ravenous,1999,144,6,5.486645,"['Comedy', 'Horror', 'Thriller', 'Western']",winter cliff cook cave nuditi chase fort armi murder surviv snow camp soldier violenc cannib mad stranger womandirector guypearce robertcarlyle davidarquette antoniabird antoniabird antoniabird Comedy Horror Thriller Western
True Crime,1999,146,6,11.600645,"['Crime', 'Drama']",journalist deathpenalti deathrow doomedman ambit recoveringalcohol clinteastwood isaiahwashington lisagayhamilton clinteastwood clinteastwood clinteastwood Crime Drama
Bandits,1997,10,5,0.531412,"['Action', 'Drama', 'Foreign']",prison music music concert getawaycar escap musicband womandirector katjariemann jasmintabatabai nicolettekrebitz katjavongarnier katjavongarnier katjavongarnier Action Drama Foreign
Dangerous Beauty,1998,59,6,4.79927,"['Drama', 'Romance']",venic inquisit beauti courtesan 16thcenturi catherinemccormack rufussewell jacquelinebisset marshallherskovitz marshallherskovitz marshallherskovitz Drama Romance
The King and I,1956,103,7,7.630723,"['Drama', 'Music', 'Romance']",templ primeminist letter bangkok palac widow music buddha siamesetwin polygami basedonplayormus misunderstand singlemoth tutor schoolteach intercultur sailingship malaria deborahkerr yulbrynner ritamoreno walterlang walterlang walterlang Drama Music Romance
Doug's 1st Movie,1999,22,5,2.924948,"['Animation', 'Family', 'Comedy']",journal danc daydream friendship pollut cartoon numberintitl kidsandfamili valentin thomasmchugh frednewman chrisphillips mauricejoyce mauricejoyce mauricejoyce Animation Family Comedy
Edtv,1999,168,5,7.48939,['Comedy'],tvshow tvstation simulatedreality realitytv tvstar tvrat matthewmcconaughey woodyharrelson sallykirkland ronhoward ronhoward ronhoward Comedy
The Mod Squad,1999,37,4,3.826503,"['Action', 'Mystery', 'Thriller']",undercov drugtraff basedontvseri clairedanes giovanniribisi omarepps scottsilver scottsilver scottsilver Action Mystery Thriller
Among Giants,1998,2,4,0.381749,"['Comedy', 'Romance']",yorkshir love friend petepostlethwaite rachelgriffiths andyserkis sammiller sammiller sammiller Comedy Romance
A Walk on the Moon,1999,21,6,7.703645,"['Drama', 'Romance']",adulteri woodstock 1960s dianelane viggomortensen lievschreiber tonygoldwyn tonygoldwyn tonygoldwyn Drama Romance
The Matrix,1999,9079,7,33.366332,"['Action', 'Science Fiction']",savingtheworld artificialintellig manvsmachin philosophi propheci martialart selfsacrific fight insurg virtualr dystopia truth cyberpunk womandirector messiah gnostic keanureeves laurencefishburne carrie-annemoss lanawachowski lanawachowski lanawachowski Action Science Fiction
10 Things I Hate About You,1999,1768,7,12.069966,"['Comedy', 'Romance', 'Drama']",shakespear sister highschool cannabi decept teenmovi shrew archeri feel-goodend oppositesattract duringcreditssting teenagerom overprotectivefath heathledger juliastiles josephgordon-levitt giljunger giljunger giljunger Comedy Romance Drama
Tango,1998,6,6,0.596717,"['Drama', 'Foreign', 'Romance']",dancer tango music love miguelángelsolá cecilianarova míamaestro carlossaura carlossaura carlossaura Drama Foreign Romance
The Out-of-Towners,1999,46,5,9.019881,['Comedy'],newyork travel misfortun stevemartin goldiehawn johncleese samweisman samweisman samweisman Comedy
The Dreamlife of Angels,1998,18,6,0.417705,"['Drama', 'Foreign']",factorywork coma soulmat flat shortageofmoney femalefriendship friendship élodiebouchez natacharégnier patrickmercado erickzonca erickzonca erickzonca Drama Foreign
Metroland,1997,8,6,0.503503,"['Comedy', 'Drama']",londonengland liar christianbale emilywatson leeross philipsaville philipsaville philipsaville Comedy Drama
Following,1998,363,7,5.283661,"['Crime', 'Drama', 'Thriller']",londonengland robberi burglar prosecut thief independentfilm writer stranger neo-noir jeremytheobald alexhaw lucyrussell christophernolan christophernolan christophernolan Crime Drama Thriller
Go,1999,198,7,8.344282,"['Crime', 'Comedy', 'Thriller']",ecstasi drugdeal drug high multiplestorylin sarahpolley katieholmes jaymohr dougliman dougliman dougliman Crime Comedy Thriller
Never Been Kissed,1999,378,5,7.257679,"['Romance', 'Comedy', 'Drama']",chicago journalist newspap undercov entrap kiss nerd highschool parti love prank prom report teenag humili editor drewbarrymore davidarquette michaelvartan rajagosnell rajagosnell rajagosnell Romance Comedy Drama
Twin Dragons,1992,72,6,10.222076,"['Comedy', 'Action']",mistakenident martialartsmast pianist twin jackiechan maggiecheung ninalichi tsuihark tsuihark tsuihark Comedy Action
Cookie's Fortune,1999,35,6,3.380684,"['Comedy', 'Drama', 'Thriller']",suicid mississippi smalltown suspicionofmurd theatremilieu theatredirector glennclose juliannemoore livtyler robertaltman robertaltman robertaltman Comedy Drama Thriller
Lovers of the Arctic Circle,1998,54,7,2.995334,"['Drama', 'Mystery', 'Romance']",suicid loveatfirstsight brothersisterrelationship becominganadult loveofone'slif firsttim pilot scandinavia snow fate coincid relationship divorc famili antarct najwanimri felemartínez joostsiedhoff juliomédem juliomédem juliomédem Drama Mystery Romance
Goodbye Lover,1998,11,5,8.661415,"['Thriller', 'Comedy', 'Crime', 'Mystery']",corrupt prostitut sex detect assassin infidel nuditi fraud politician murder romanc betray singer eroticmovi neo-noir patriciaarquette dermotmulroney mary-louiseparker rolandjoffé rolandjoffé rolandjoffé Thriller Comedy Crime Mystery
Life,1999,179,6,7.579444,"['Comedy', 'Crime']",mississippi racist bootleg crimin eddiemurphy martinlawrence obbababatundé teddemme teddemme teddemme Comedy Crime
Friends & Lovers,1999,6,5,1.53188,"['Comedy', 'Romance', 'Drama']",dannynucci stephenbaldwin georgenewbern georgehaas georgehaas georgehaas Comedy Romance Drama
Hideous Kinky,1998,23,6,2.402484,"['Romance', 'Drama']",hippi cultureclash morocco arabian lover sister independentfilm katewinslet saïdtaghmaoui bellariza gilliesmackinnon gilliesmackinnon gilliesmackinnon Romance Drama
Open Your Eyes,1997,211,7,8.842959,"['Drama', 'Thriller']",lovetriangl madrid loveofone'slif ladykil virtualr carcrash bestfriend psychiatrist psychiatr eduardonoriega penélopecruz chetelera alejandroamenábar alejandroamenábar alejandroamenábar Drama Thriller
SLC Punk,1998,93,7,4.370812,"['Crime', 'Romance', 'Comedy', 'Drama', 'Music']",punk independentfilm redneck saltlakec hospit breakingthefourthwal bromanc matthewlillard michaela.goorjian annabethgish jamesmerendino jamesmerendino jamesmerendino Crime Romance Comedy Drama Music
Lost & Found,1999,26,4,1.337096,"['Comedy', 'Romance']",restaur neighbor dog ring davidspade sophiemarceau evercarradine jeffpollack jeffpollack jeffpollack Comedy Romance
